Universidad,Carrera,Enlace_Descubierto,Estado
intec.edu.do,Ingeniería Ciberseguridad,N/A,No Encontrado
intec.edu.do,Ingeniería en Sistemas,https://www.intec.edu.do/downloads/documents/programas-academicos/locales/grado/Brochure-Temp/ingenieria/Ing_en_Sistemas.pdf,Descargado
intec.edu.do,Licenciatura en Ciencias de Datos,https://www.intec.edu.do/downloads/documents/programas-academicos/locales/grado/plan_de_estudio/Ciencias_basicas/CIENCIAS_DE_DATOS_Pwnsum.pdf,Descargado
itla.edu.do,Tecnólogo Ciberseguridad,N/A,No Encontrado
itla.edu.do,Tecnólogo Desarrollo de Software,N/A,No Encontrado
uasd.edu.do,Ingeniería de Sistemas,N/A,No Encontrado
uasd.edu.do,Ciencia de Datos,N/A,No Encontrado
pucmm.edu.do,Ingeniería Computación e Inteligencia Artificial,N/A,No Encontrado
pucmm.edu.do,Ciberseguridad,N/A,No Encontrado
udoym.edu.do,Ingeniería Sistemas y Computación,N/A,No Encontrado
uapa.edu.do,Ingeniería en Software,N/A,No Encontrado
unicaribe.edu.do,Ingeniería Ciberseguridad,N/A,No Encontrado
unicda.edu.do,Ingeniería Software,N/A,No Encontrado
unicda.edu.do,Ingeniería Ciencia de Datos,N/A,No Encontrado
