title,company,location,date,type,desc,requirements,impact,forMortals
Analista de Capacitación Analista de Capacitación with verification,Sued&Fargesa SRL,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Sued&Fargesa SRL.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Information Technology Project Analyst Information Technology Project Analyst,"Xolutiva, S. A.","Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,"Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Xolutiva, S. A..",Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Visual Designer Visual Designer,Cumbre.do,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Cumbre.do.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Ai Data Reviewer - Remote Ai Data Reviewer - Remote,YO IT Consulting,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en YO IT Consulting.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
LIDER DE PROYECTOS PLANIFICACION LIDER DE PROYECTOS PLANIFICACION with verification,Banco Popular Dominicano,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Banco Popular Dominicano.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
AI Training Specialist (Egocentric Video) AI Training Specialist (Egocentric Video),Toloka Annotators,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Toloka Annotators.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Auxiliar de Procesos Administrativos e Inteligencia Artificial Auxiliar de Procesos Administrativos e Inteligencia Artificial,EADIC,América Latina (En remoto),Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en EADIC.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
AI Machine Learning Engineer - Remote - Latin America AI Machine Learning Engineer - Remote - Latin America,FullStack,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en FullStack.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Senior Software Engineer (MCP Specialist) - Remote - Latin America Senior Software Engineer (MCP Specialist) - Remote - Latin America,FullStack,"Concepción de la Vega, La Vega, República Dominicana (En remoto)",Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en FullStack.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Ai Trainer/Data Annotator - Remote Ai Trainer/Data Annotator - Remote,YO IT Consulting,"Concepción de la Vega, La Vega, República Dominicana (En remoto)",Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en YO IT Consulting.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
