skill,keywords,demand,profileCount,supply,urgency,label,url
Ciberseguridad Zero Trust / SIEM,ciberseguridad OR cybersecurity OR SIEM OR SOC,93,128,8,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=ciberseguridad%20OR%20cybersecurity%20OR%20SIEM%20OR%20SOC&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Cloud Engineering (AWS / Azure),AWS OR Azure OR cloud engineer OR cloud computing,94,240,15,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=AWS%20OR%20Azure%20OR%20cloud%20engineer%20OR%20cloud%20computing&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
DevOps / IaC (Terraform/K8s),DevOps OR Terraform OR Kubernetes OR Infrastructure as Code,91,192,12,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=DevOps%20OR%20Terraform%20OR%20Kubernetes%20OR%20Infrastructure%20as%20Code&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
IA Aplicada / LLMs / MLOps,inteligencia artificial OR machine learning OR MLOps OR LLM,98,160,10,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=inteligencia%20artificial%20OR%20machine%20learning%20OR%20MLOps%20OR%20LLM&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Prompt Engineering / IA Generativa,prompt engineering OR IA generativa OR generative AI OR ChatGPT,85,80,5,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=prompt%20engineering%20OR%20IA%20generativa%20OR%20generative%20AI%20OR%20ChatGPT&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Observability (Grafana/Prometheus),Grafana OR Prometheus OR observability OR monitoring,88,128,8,critical,🔴 CRÍTICA,https://www.linkedin.com/search/results/people/?keywords=Grafana%20OR%20Prometheus%20OR%20observability%20OR%20monitoring&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Inglés Técnico (B2-C1 real),english B2 OR english C1 OR bilingual OR ingles tecnico,95,320,20,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=english%20B2%20OR%20english%20C1%20OR%20bilingual%20OR%20ingles%20tecnico&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Data Engineering / ETL Pipelines,data engineer OR ETL OR data pipeline OR Spark OR dbt,82,288,18,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=data%20engineer%20OR%20ETL%20OR%20data%20pipeline%20OR%20Spark%20OR%20dbt&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
RPA / Power Automate,RPA OR Power Automate OR UiPath OR automatizacion,78,352,22,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=RPA%20OR%20Power%20Automate%20OR%20UiPath%20OR%20automatizacion&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
BIM / Revit / Construcción Digital,BIM OR Revit OR Navisworks OR construccion digital,76,448,28,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=BIM%20OR%20Revit%20OR%20Navisworks%20OR%20construccion%20digital&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
