role,count,min,p25,median,average,p75,max
Arquitectura / BIM,2,35000.0,43750.0,52500.0,52500.0,61250.0,70000.0
Ciberseguridad,3,23500.0,29250.0,35000.0,63166.67,83000.0,131000.0
Cloud / Infraestructura,12,17000.0,28500.0,40000.0,50037.0,56250.0,111111.0
Ingeniería Civil / Infraestructura,11,28000.0,40000.0,70000.0,61454.45,80000.0,90000.0
Ingeniería Electrónica,1,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
Ingeniería Industrial,16,12000.0,35000.0,40000.0,45437.44,46250.0,100000.0
Ingeniería Mecánica / Movilidad,3,24000.0,24499.5,24999.0,27999.67,29999.5,35000.0
Ingeniería de Datos / BI,19,24000.0,34000.0,45000.0,49401.63,49999.5,111111.0
Ingeniería de Software,13,11000.0,18984.0,35000.0,47354.08,80000.0,123456.0
Manufactura / Calidad,11,27490.0,29500.0,40000.0,55595.0,87500.0,122055.0
