portal,source_key,source_url,query,title,company,location,category,salary_min,salary_max,salary_mid,currency,captured_at,evidence
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Desarrollador software,Desarrollador software,"ESPARTIMP Santo Domingo Este, Santo Domingo",Ingeniería de Software,11111.0,11111.0,11111.0,DOP,2026-05-29T09:19:08," 11,111.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Ingeniero,Ingeniero,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Este, Santo Domingo",Ingeniería de Software,80000.0,80000.0,80000.0,DOP,2026-05-29T09:19:08," 80,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Desarrollador Diseño Proyectos,Desarrollador Diseño Proyectos,"Alerta SRL Santiago, Santiago",Ingeniería de Software,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:08," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Desarollador power bi etl,Desarollador power bi etl,"wmac consultoria y asesoria de recursos humanos srl Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Datos / BI,45000.0,45000.0,45000.0,DOP,2026-05-29T09:19:08," 45,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Recien graduados con un nivel junior de desarrollo en powerbi y ETL SQL,Recien graduados con un nivel junior de desarrollo en powerbi y ETL SQL,"wmac consultoria y asesoria de recursos humanos srl Santo Domingo Este, Santo Domingo",Ingeniería de Datos / BI,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:08," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Tecnico en Redes y Sistema de seguridad,Tecnico en Redes y Sistema de seguridad,"ESPARTIMP Santo Domingo Este, Santo Domingo",Cloud / Infraestructura,111111.0,111111.0,111111.0,DOP,2026-05-29T09:19:08," 111,111.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Ejecutivo Comercial de Campo Sector Gastronómico,Ejecutivo Comercial de Campo Sector Gastronómico,Reserva Ya Perú,Ingeniería de Software,11000.0,11000.0,11000.0,DOP,2026-05-29T09:19:08," 11,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Asistente contabilidad,Asistente contabilidad,"wmac consultoria y asesoria de recursos humanos srl Santo Domingo Este, Santo Domingo",Ingeniería de Datos / BI,24000.0,24000.0,24000.0,DOP,2026-05-29T09:19:08," 24,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador,desarrollador,Promotor de Ventas Directas de Dispositivos Electrónico,Promotor de Ventas Directas de Dispositivos Electrónico,"Salesland Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Software,59588.0,59588.0,59588.0,DOP,2026-05-29T09:19:08," 59,588.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador%20java,desarrollador java,Soporte Técnico Informático con conocimientos en SQL y Contabilidad,Soporte Técnico Informático con conocimientos en SQL y Contabilidad,"Importante empresa del sector Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Datos / BI,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:10," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador%20java,desarrollador java,Tecnico de internet fibra óptica,Tecnico de internet fibra óptica,"GOLD WIRELESS IP TV SRL Salcedo, Hermanas Mirabal",Ingeniería de Software,12000.0,12000.0,12000.0,DOP,2026-05-29T09:19:10," 12,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=desarrollador%20java,desarrollador java,Promotor de Ventas Directas de Dispositivos Electrónico,Promotor de Ventas Directas de Dispositivos Electrónico,"Salesland Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Software,47242.0,47242.0,47242.0,DOP,2026-05-29T09:19:10," 47,242.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=power%20bi,power bi,Especialista en Inteligencia de Negocios,Especialista en Inteligencia de Negocios,"Importante empresa del sector Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Datos / BI,99997.0,99997.0,99997.0,DOP,2026-05-29T09:19:15," 99,997.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Insurance Claim Verification Specialist,Insurance Claim Verification Specialist,"RPM BPO SRL Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Datos / BI,43999.0,43999.0,43999.0,DOP,2026-05-29T09:19:17," 43,999.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Order Entry Clerk Backoffice,Order Entry Clerk Backoffice,"Sewn Products, INC. Santiago, Santiago",Ingeniería de Datos / BI,32000.0,32000.0,32000.0,DOP,2026-05-29T09:19:17," 32,000.00 $ (Mensual)"
