role,count,min,p25,median,average,p75,max
Arquitectura / BIM,306,18000.0,50000.0,65000.0,63195.26,75000.0,180000.0
Ciberseguridad,1452,1167.17,20215.84,35015.0,37479.14,45000.0,280000.0
Cloud / Infraestructura,313,5333.33,55825.0,60000.0,68885.06,77000.0,275000.0
ESG / Economía Circular,41,16500.0,50000.0,72737.5,72710.54,82500.0,180000.0
Ingeniería Civil / Infraestructura,671,10000.0,50000.0,50000.0,59368.71,70000.0,180000.0
Ingeniería Electrónica,87,11000.0,34650.0,34650.0,43636.45,46000.0,125000.0
Ingeniería Eléctrica / Energía,43,15200.11,90000.0,90000.0,100939.58,100000.0,275000.0
Ingeniería Industrial,533,13333.33,40000.0,50000.0,62736.36,78000.0,469718.2
Ingeniería Mecánica / Movilidad,2701,1500.0,15000.0,23100.0,24718.61,30000.0,220000.0
Ingeniería de Datos / BI,5983,10000.0,30250.0,49060.0,44360.63,49060.0,280000.0
Ingeniería de Software,454,6000.0,55000.0,75000.0,73996.94,90000.0,220000.0
Manufactura / Calidad,627,10000.0,35000.0,55000.0,57962.64,75000.0,165000.0
